Inventory_Salesforce_Id,Inventory_Id__c,Product_Code__c,Advantage_Id,Advantage_Code,Advantage_Name_IT,Advantage_Name_EN,Advantage_Target_Type
a03SX00000bG2i9YAC,10228687284469,0009,10228688269897,CBC83,Ridotto 160€,Ridotto 160€,CODE
a03SX00000bG2i9YAC,10228687284469,0009,10228688269889,RC468,Ridotto convenzionati,Ridotto convenzionati,CODE
a03SX00000bG5BRYA0,10228687284470,0010,10228688269896,CBC62,Ridotto 123€,Ridotto 123€,CODE
a03SX00000bG5BRYA0,10228687284470,0010,10228688269889,RC468,Ridotto convenzionati,Ridotto convenzionati,CODE
a03SX00000bG5phYAC,10228636548089,BBB4,10228636995723,CB01020,PROMO CORPORATE BENEFITS A,PROMO CORPORATE BENEFITS A,CODE
a03SX00000bG5phYAC,10228636548089,BBB4,10228636549001,AIC1020,RIDOTTO PROMO 150€/300€,RIDOTTO PROMO 150€/300€,CODE
a03SX00000bG7BZYA0,10228687124754,0191,10228695387257,AML2,AGEVOLAZIONE ALLIEVI AMLETO2,AGEVOLAZIONE ALLIEVI AMLETO2,CONTACT
a03SX00000bG7BZYA0,10228687124754,0191,10228643704545,CB0010,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bG7BZYA0,10228687124754,0191,10228643726974,LP200,Ridotto 40%,Ridotto 40%,CODE
a03SX00000bG7BZYA0,10228687124754,0191,10228653611942,MU35,Ridotto Under 30,Ridotto Under 30,CONTACT
a03SX00000bG7BZYA0,10228687124754,0191,10228653611943,U35NP,Under 30,Under 30,CONTACT
a03SX00000bG7BZYA0,10228687124754,0191,10228644663854,ABBO30,Riduzione 30%,Riduzione 30%,CONTACT
a03SX00000bG7BZYA0,10228687124754,0191,10228644404278,RS2526,Ridotto studenti 50%,Ridotto studenti 50%,CONTACT
a03SX00000bGAitYAG,10228687284447,0803,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bGBS6YAO,10228687284466,0007,10228688269886,AL8S,Ridotto 144€ / Ridotto 288€,Ridotto 144€ / Ridotto 288€,CODE
a03SX00000bGBS6YAO,10228687284466,0007,10228688269894,CB16AN,Ridotto 288€,Ridotto 288€,CODE
a03SX00000bGE6cYAG,10228688276050,DOC1,10228688880633,AD5ST,Ridotto 90€,Ridotto 90€,CODE
a03SX00000bGE6fYAG,10228687815386,UND1,10228687812459,U2627,RISERVATO UNDER30,RISERVATO UNDER30,CONTACT
a03SX00000bGE6gYAG,10228687815387,UND2,10228687812459,U2627,RISERVATO UNDER30,RISERVATO UNDER30,CONTACT
a03SX00000bGEoBYAW,10228688276047,CON2,10228688269887,AC5S,Ridotto 90€,Ridotto 90€,CODE
a03SX00000bGEoBYAW,10228688276047,CON2,10228688269899,CB10AN,Ridotto 180€,Ridotto 180€,CODE
a03SX00000bGGZrYAO,10228687284452,0808,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bGKogYAG,10228687284471,0011,10228688269889,RC468,Ridotto convenzionati,Ridotto convenzionati,CODE
a03SX00000bGKogYAG,10228687284471,0011,10228688269895,CBC41,Ridotto 84€,Ridotto 84€,CODE
a03SX00000bGLMcYAO,10228687284449,0805,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bGPMzYAO,10228636523446,BBB3,10228636995722,CB01612,PROMO CORPORATE BENEFITS,PROMO CORPORATE BENEFITS,CODE
a03SX00000bGPMzYAO,10228636523446,BBB3,10228636549000,AIC612,108€/216€,108€/216€,CODE
a03SX00000bGPV0YAO,10228636435676,CRD2,10228636995724,CB08160,PROMO CORPORATE BENEFITS,PROMO CORPORATE BENEFITS,CODE
a03SX00000bGPV0YAO,10228636435676,CRD2,10228636549002,PCC80160,RIDOTTO PROMO 80€/160€,RIDOTTO PROMO 80€/160€,CODE
a03SX00000bGQRCYA4,10228687815388,UND3,10228687812459,U2627,RISERVATO UNDER30,RISERVATO UNDER30,CONTACT
a03SX00000bGQShYAO,10228687284450,0806,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bGR2DYAW,10228687284467,0008,10228687090621,R2627,RINNOVO,RINNOVO,CONTACT
a03SX00000bGRoZYAW,10228687815389,CON1,10228688269887,AC5S,Ridotto 90€,Ridotto 90€,CODE
a03SX00000bGRoZYAW,10228687815389,CON1,10228688269898,CB5AN,Ridotto 90€,Ridotto 90€,CODE
a03SX00000bGRwfYAG,10228636435680,CRD6,10228636995724,CB08160,PROMO CORPORATE BENEFITS,PROMO CORPORATE BENEFITS,CODE
a03SX00000bGRwfYAG,10228636435680,CRD6,10228636549002,PCC80160,RIDOTTO PROMO 80€/160€,RIDOTTO PROMO 80€/160€,CODE
a03SX00000bGSSuYAO,10228687284451,0807,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bGU1eYAG,10228687284463,0004,10228687090621,R2627,RINNOVO,RINNOVO,CONTACT
a03SX00000bGUCxYAO,10228687284465,0006,10228687090621,R2627,RINNOVO,RINNOVO,CONTACT
a03SX00000bGVsBYAW,10228687284464,0005,10228688269886,AL8S,Ridotto 144€ / Ridotto 288€,Ridotto 144€ / Ridotto 288€,CODE
a03SX00000bGVsBYAW,10228687284464,0005,10228688269893,CB8AN,Ridotto 144€,Ridotto 144€,CODE
a03SX00000bGWeYYAW,10228687284446,0802,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bGWppYAG,10228687284448,0804,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bGY21YAG,10228636548090,BBB5,10228636995722,CB01612,PROMO CORPORATE BENEFITS,PROMO CORPORATE BENEFITS,CODE
a03SX00000bGY21YAG,10228636548090,BBB5,10228636549000,AIC612,108€/216€,108€/216€,CODE
a03SX00000bGZHRYA4,10228687284445,0801,10228689816096,TC01,PROMO CONVENZIONATI,PROMO CONVENZIONATI,CODE
a03SX00000bOq6gYAC,10228688884875,DOC3,10228688880634,A8SDD,Ridotto 136€,Ridotto 136€,CODE
a03SX00000bQhAVYA0,10228688884885,0109,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bQhAVYA0,10228688884885,0109,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bQhAVYA0,10228688884885,0109,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bQxASYA0,10228688884881,0106,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bQxASYA0,10228688884881,0106,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bQxASYA0,10228688884881,0106,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bQyrKYAS,10228688884883,0108,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bQyrKYAS,10228688884883,0108,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bQyrKYAS,10228688884883,0108,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR0cyYAC,10228688884882,0107,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR0cyYAC,10228688884882,0107,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR1xHYAS,10228688884887,0110,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR1xHYAS,10228688884887,0110,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bR1xHYAS,10228688884887,0110,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR7JSYA0,10228688884877,0101,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR7JSYA0,10228688884877,0101,10228687080419,ST2627,ALLIEVI SCUOLE DI TEATRO 2026/27,ALLIEVI SCUOLE DI TEATRO 2026/27,CONTACT
a03SX00000bR7JSYA0,10228688884877,0101,10228688880636,AA30,Riduzione 30%,Riduzione 30%,CONTACT
a03SX00000bR7JSYA0,10228688884877,0101,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bR7JSYA0,10228688884877,0101,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR7JSYA0,10228688884877,0101,10228696526241,1206,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bR7JTYA0,10228688884878,0103,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bR7JTYA0,10228688884878,0103,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bR7mYYAS,10228688884890,0113,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRDqLYAW,10228688884892,0115,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRDqLYAW,10228688884892,0115,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRFP3YAO,10228688884879,0104,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRFP3YAO,10228688884879,0104,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bRGbFYAW,10228688884880,0105,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRGbFYAW,10228688884880,0105,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRJipYAG,10228688884889,0112,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRJipYAG,10228688884889,0112,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRKqHYAW,10228688884891,0114,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRKqHYAW,10228688884891,0114,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRN85YAG,10228688884886,0102,10228693499682,AM40,Agevolazione Membership under30,Agevolazione Membership under30,CONTACT
a03SX00000bRN85YAG,10228688884886,0102,10228695387261,CB0013,Riduzione 30%,Riduzione 30%,CODE
a03SX00000bRN85YAG,10228688884886,0102,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bRWzSYAW,10228636523445,BBB2,10228636995723,CB01020,PROMO CORPORATE BENEFITS A,PROMO CORPORATE BENEFITS A,CODE
a03SX00000bRWzSYAW,10228636523445,BBB2,10228636549001,AIC1020,RIDOTTO PROMO 150€/300€,RIDOTTO PROMO 150€/300€,CODE
a03SX00000bRaRtYAK,10228688884888,0111,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bRaRtYAK,10228688884888,0111,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bS15WYAS,10228688884893,0116,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bS15WYAS,10228688884893,0116,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bS66pYAC,10228688884896,0119,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bS66pYAC,10228688884896,0119,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bSCoxYAG,10228688884894,0117,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bSCoxYAG,10228688884894,0117,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bSDHxYAO,10228688884895,0118,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000bSDHxYAO,10228688884895,0118,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buAvVYAU,10228689806941,0126,10228693499682,AM40,Agevolazione Membership under30,Agevolazione Membership under30,CONTACT
a03SX00000buAvVYAU,10228689806941,0126,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000buAvVYAU,10228689806941,0126,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buJ99YAE,10228689806937,0122,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000buJ99YAE,10228689806937,0122,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buK0QYAU,10228689806942,0127,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000buK0QYAU,10228689806942,0127,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000buK0QYAU,10228689806942,0127,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buPbCYAU,10228689806940,0125,10228693499682,AM40,Agevolazione Membership under30,Agevolazione Membership under30,CONTACT
a03SX00000buPbCYAU,10228689806940,0125,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000buPbCYAU,10228689806940,0125,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buTMzYAM,10228689806935,0120,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000buTMzYAM,10228689806935,0120,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000buTMzYAM,10228689806935,0120,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buUkTYAU,10228689806936,0121,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000buUkTYAU,10228689806936,0121,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000buUkTYAU,10228689806936,0121,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buXTpYAM,10228689806938,0123,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000buXTpYAM,10228689806938,0123,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000buYZZYA2,10228689806939,0124,10228693499683,AM30,Agevolazione Membership,Agevolazione Membership,CONTACT
a03SX00000buYZZYA2,10228689806939,0124,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000buYZZYA2,10228689806939,0124,10228695387262,AGST30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000buYZZYA2,10228689806939,0124,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000bzt2HYAQ,10228689876615,0128,10228693499682,AM40,Agevolazione Membership under30,Agevolazione Membership under30,CONTACT
a03SX00000c2KL0YAM,10228689876618,0014,10228690733579,VR2627,ABBONAMENTO VEDERE E RIVEDERE,ABBONAMENTO VEDERE E RIVEDERE,CONTACT
a03SX00000c2SVSYA2,10228689876617,0130,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000dMFbUYAW,10228693497570,0131,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000dMY2zYAG,10228693497569,0402,10228693499682,AM40,Agevolazione Membership under30,Agevolazione Membership under30,CONTACT
a03SX00000dMY2zYAG,10228693497569,0402,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000dMiK8YAK,10228693497571,0132,10228693499682,AM40,Agevolazione Membership under30,Agevolazione Membership under30,CONTACT
a03SX00000dMmxDYAS,10228693497572,0403,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000dMmxDYAS,10228693497572,0403,10228688880636,AA30,Riduzione 30%,Riduzione 30%,CONTACT
a03SX00000dNa18YAC,10228693497575,0133,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000dZWeUYAW,10228695317265,0135,10228693499683,AM30,Agevolazione Membership,Agevolazione Membership,CONTACT
a03SX00000dZWeUYAW,10228695317265,0135,10228695387261,CB0013,Riduzione 30%,Riduzione 30%,CODE
a03SX00000dZWeUYAW,10228695317265,0135,10228695387258,AL30,Ridotto 30%,Ridotto 30%,CODE
a03SX00000dmOSzYAM,10228695317301,0138,10228688880636,AA30,Riduzione 30%,Riduzione 30%,CONTACT
a03SX00000dqyuTYAQ,10228695408509,0139,10228687080419,ST2627,ALLIEVI SCUOLE DI TEATRO 2026/27,ALLIEVI SCUOLE DI TEATRO 2026/27,CONTACT
a03SX00000dqyuTYAQ,10228695408509,0139,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
a03SX00000dqzfFYAQ,10228695408510,0140,10228687080419,ST2627,ALLIEVI SCUOLE DI TEATRO 2026/27,ALLIEVI SCUOLE DI TEATRO 2026/27,CONTACT
a03SX00000dqzfFYAQ,10228695408510,0140,10228695387261,CB0013,Riduzione 30%,Riduzione 30%,CODE
a03SX00000dxzQoYAI,10228696423824,0143,10228694462398,MMB50,Ridotto Membership,Ridotto Membership,CONTACT
a03SX00000dxzQoYAI,10228696423824,0143,10228687080419,ST2627,ALLIEVI SCUOLE DI TEATRO 2026/27,ALLIEVI SCUOLE DI TEATRO 2026/27,CONTACT
a03SX00000dyNeQYAU,10228696423825,0144,10228687080419,ST2627,ALLIEVI SCUOLE DI TEATRO 2026/27,ALLIEVI SCUOLE DI TEATRO 2026/27,CONTACT
a03SX00000dyNeQYAU,10228696423825,0144,10228688880636,AA30,Riduzione 30%,Riduzione 30%,CONTACT
a03SX00000dyNeQYAU,10228696423825,0144,10228695387260,CB0012,Riduzione 30%,Riduzione 30%,CODE
